ghi,ghi10,ghi90,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,Real Solar Power Produced,Predicted Solar Power
18,10,25,0,0,0,35,18,34,86,80,27,2023-08-26T13:00:00.0000000Z,0.032,0.019999999552965164
0,0,0,0,0,0,0,0,33,94,78,30,2023-08-26T13:30:00.0000000Z,0.0,-0.009999999776482582
0,0,0,0,0,0,0,0,32,101,76,32,2023-08-26T14:00:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,32,108,75,34,2023-08-26T14:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,31,115,72,36,2023-08-26T15:00:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,30,122,69,38,2023-08-26T15:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,30,129,66,38,2023-08-26T16:00:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,30,135,62,38,2023-08-26T16:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,29,142,56,38,2023-08-26T17:00:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,29,147,48,38,2023-08-26T17:30:00.0000000Z,0.0,0.0
0,0,0,0,0,0,0,0,28,152,37,38,2023-08-26T18:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,28,156,22,38,2023-08-26T18:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,28,158,4,38,2023-08-26T19:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,157,-15,36,2023-08-26T19:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,154,-31,35,2023-08-26T20:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,150,-44,33,2023-08-26T20:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,27,144,-53,32,2023-08-26T21:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,138,-59,31,2023-08-26T21:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,132,-64,31,2023-08-26T22:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,125,-68,31,2023-08-26T22:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,118,-71,31,2023-08-26T23:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,111,-74,31,2023-08-26T23:30:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,104,-76,30,2023-08-27T00:00:00.0000000Z,0.0,0.009999999776482582
0,0,0,0,0,0,0,0,26,97,-78,29,2023-08-27T00:30:00.0000000Z,0.0,0.009999999776482582
6,2,8,0,0,0,8,6,27,89,-79,26,2023-08-27T01:00:00.0000000Z,0.011,0.019999999552965164
54,23,69,3,15,0,159,52,27,82,-81,22,2023-08-27T01:30:00.0000000Z,0.104,0.11999999731779099
141,61,169,39,142,0,333,102,27,75,-82,17,2023-08-27T02:00:00.0000000Z,0.425,0.4399999976158142
244,108,283,102,264,0,462,142,28,68,-83,14,2023-08-27T02:30:00.0000000Z,0.803,0.8299999833106995
356,161,400,186,374,0,556,170,28,60,-84,11,2023-08-27T03:00:00.0000000Z,1.21,1.2000000476837158
464,211,514,274,454,0,627,190,29,53,-85,10,2023-08-27T03:30:00.0000000Z,1.583,1.559999942779541
559,254,618,346,495,0,677,213,30,46,-86,10,2023-08-27T04:00:00.0000000Z,1.907,1.8899999856948853
646,293,711,417,531,0,711,229,30,38,-87,9,2023-08-27T04:30:00.0000000Z,2.207,2.1600000858306885
722,328,791,481,560,0,738,241,31,31,-88,9,2023-08-27T05:00:00.0000000Z,2.446,2.4100000858306885
784,358,857,534,583,0,759,249,32,24,-89,9,2023-08-27T05:30:00.0000000Z,2.629,2.5999999046325684
832,384,907,582,606,0,780,250,33,16,-91,8,2023-08-27T06:00:00.0000000Z,2.774,2.740000009536743
862,400,941,614,622,0,800,248,33,9,-94,8,2023-08-27T06:30:00.0000000Z,2.868,2.8399999141693115
